Year,Petrol_price_cpl,Diesel_price_cpl,CPI_index,CPI_to_2025_factor,BEV,Hybrid_PHEV,ICE,Total_fleet,BEV_share_pct,HybridPHEV_share_pct,Petrol_price_real_2025,Diesel_price_real_2025
2002,87.3,,76.6,1.8734,,,,,,,163.5,
2003,90.4,,79.8,1.7982,,,,,,,162.6,
2004,98.2,,81.5,1.7607,,,,,,,172.9,
2005,111.8,,83.4,1.7206,,,,,,,192.4,
2006,125.3,,86.4,1.6609,,,,,,,208.1,
2007,125.4,131.3,88.4,1.6233,,,,,,,203.6,213.1
2008,142.4,161.6,91.9,1.5615,,,,,,,222.4,252.3
2009,120.3,122.5,93.5,1.5348,,,,,,,184.6,188.0
2010,126.3,130.1,96.0,1.4948,,,,,,,188.8,194.5
2011,141.2,148.5,99.2,1.4466,,,,,,,204.3,214.8
2012,144.3,150.6,101.6,1.4124,,,,,,,203.8,212.7
2013,147.9,154.3,104.0,1.3798,,,,,,,204.1,212.9
2014,148.8,156.8,106.6,1.3462,,,,,,,200.3,211.1
2015,129.6,130.4,108.2,1.3262,,,,,,,171.9,172.9
2016,117.8,118.5,109.7,1.3081,,,,,,,154.1,155.0
2017,129.3,129.6,111.9,1.2824,,,,,,,165.8,166.2
2018,144.3,149.8,114.1,1.2577,,,,,,,181.5,188.4
2019,142.0,148.0,115.9,1.2381,,,,,,,175.8,183.2
2020,123.4,126.9,116.6,1.2307,,,,,,,151.9,156.2
2021,147.8,143.0,119.8,1.1978,15860.0,204127.0,18240425.0,18460412.0,0.086,1.106,177.0,171.3
2022,184.2,207.5,127.2,1.1281,33978.0,276074.0,18511346.0,18821398.0,0.181,1.467,207.8,234.1
2023,189.8,202.0,135.3,1.0606,72572.0,362776.0,18806925.0,19242273.0,0.377,1.885,201.3,214.2
2024,188.8,191.4,139.7,1.0272,159920.0,479937.0,19122124.0,19761981.0,0.809,2.429,193.9,196.6
2025,180.0,186.1,143.5,1.0,249873.0,707331.0,19303869.0,20261073.0,1.233,3.491,180.0,186.1
